"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000091527",2814.15907315816,-1.81023338581699,0.0499749039260764,-36.2228487421349,2.65991467458205e-287,1.18922366996314e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031436,0.0535351856129172,36.1446986343776,4.50699795435344e-286,1.95577199466267e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200636264,0.0781715125793945,-36.1399173835012,5.35788238437455e-286,2.21472996285942e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.2876630414307,0.0909710045353387,36.139680530334,5.40397713589123e-286,2.21472996285942e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587689591,0.0487932052558698,-35.7887100824523,1.65489621242168e-280,6.5990104643431e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202050604,0.0656155300125509,35.3236805381697,2.54309601520066e-273,9.87390489691331e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515285899121,0.0653960015029364,-35.2491407121841,3.53654089564906e-272,1.33790062498478e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584700688,0.0743747831996379,-35.1930551512468,2.55371425846821e-271,9.41937504236e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770037,0.0806594361654293,35.1779680418408,4.34412619207662e-271,1.56324970336338e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473638995,0.126316443344431,35.1424930821223,1.51369643174869e-270,5.31739932238577e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014082327,0.0861136731854864,-34.9774899781063,4.9485299881786e-268,1.697921196409e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849876872,0.0690680731966503,-34.9512935143787,1.237628315609e-267,4.1499927655671e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042981602,0.0676832770816121,34.8366765245856,6.77564578707231e-266,2.22150839872144e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927585747,0.0497514640687476,34.8299152254694,8.57667920739992e-266,2.75087663099953e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019561272,0.058836544365918,34.2452164267462,5.13847171429457e-257,1.61304280154685e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098961347,0.0928701295035766,-34.203903952682,2.11546979604055e-256,6.50242528557965e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757629978,0.0569242465793671,-33.8997473354217,6.71901473520885e-252,2.02310904904636e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019839701,0.0418063496223905,33.7243076980322,2.54552201862503e-249,7.51132637255874e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888548838,0.0611321285454409,33.6829247481183,1.02811950487298e-248,2.97428924997959e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961551479,0.0460243829020137,33.6071777172511,1.31772458431077e-247,3.7387900994079e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784332135,0.0564684078962225,-33.534110733234,1.53479949596252e-246,4.27253429498699e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659189939,0.0509601097732197,-33.4290212379925,5.19402372960096e-245,1.41912270567653e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591140107,0.043932901106808,-33.3239070154237,1.73989244817657e-243,4.66734057825403e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619985208,0.0760092150735248,-33.283940603845,6.59333653517081e-243,1.73710870071268e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662197809,0.0547035654308744,33.0977808798586,3.19857168309622e-240,8.27925028287748e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483184766,0.0522701787469603,32.9854397513024,1.31371599620503e-238,3.34182169103603e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249160932,0.0567964589895681,-32.9413580510883,5.62531682292082e-238,1.40671058314193e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.8667898464,1.68614754693592,0.0515037604117434,32.7383385884084,4.44963053409392e-235,1.09416414833369e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946152821,0.0629925124102147,32.6579998608632,6.16949932628692e-234,1.49220972229569e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085412,0.0389873674971407,32.6047843816934,3.50838395821971e-233,8.3488220838022e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470629e-233,2.28796268468407e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862866607,0.0428974831595508,32.3715641661577,6.89960634735051e-230,1.59057487576265e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.3370745546683,0.041712649101602,-32.0544147510629,1.90540815804262e-225,4.32498337904012e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199109966,0.0759164049461388,31.7791917677257,1.25508088953175e-221,2.80567627941688e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.4246113094916,0.0449230278006398,-31.7122727304528,1.05244136893299e-220,2.31757014287125e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935254084,0.043742518916145,31.6113334760536,2.57958363092892e-219,5.59693777804784e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310499299,0.0943819980044559,31.575545845642,7.99977040077608e-219,1.71055960134856e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777589492,0.13703242691719,31.5721459017099,8.90728618594497e-219,1.87740143410617e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391533277,0.0474102578169212,31.4114283259867,1.41268374681142e-216,2.9355966197825e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909685358,0.085091512418783,-31.3751515393709,4.41713884960291e-216,9.05145369264463e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898915083,0.0363987420368749,31.3716608116293,4.92891669036569e-216,9.96181326707608e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139991528,0.043278627647963,-30.7505452977993,1.20242741711137e-207,2.39738028541367e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854237224,0.0685910546173052,30.6875080739929,8.35476683070625e-207,1.64354973093653e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585504507,0.0934444346449465,30.6666294887798,1.58632514136687e-206,3.07955804417457e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660580216,0.0625712954959322,-30.5292800902028,1.06538892786302e-204,2.04139587554429e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43610918566817,0.112997108647232,-30.4088239673056,4.19915633267885e-203,7.94286570927484e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564267365e-202,7.3469609356971e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926021168,0.0574719550840035,30.2794512152596,2.13757572316947e-201,3.94222402745529e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433588973,0.0645262751597787,-30.1352329895808,1.67483611792686e-199,3.05068297332012e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883731506,0.0526625755696919,-30.0569962671183,1.76887800473095e-198,3.18268610753663e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258388054,0.109401846940745,-30.0096632341021,7.34108447608605e-198,1.30494410072498e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282821494,0.0507616652018101,-29.9452908444133,5.06708614712949e-197,8.89997488270815e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365679981895,0.112773759861837,-29.8265909014639,1.76653172122814e-195,3.06628341352941e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403925639,0.0515649241169034,29.8149190672894,2.50295385458137e-195,4.29402106633645e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585251,0.0564166020290934,29.7021588607618,7.20118898397278e-194,1.22042491782758e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.72304030581645,0.0580113161448783,29.701796482488,7.27920514903262e-194,1.22042491782758e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053251421,0.0575941305025784,-29.6620596162613,2.37082766304763e-193,3.93024621804548e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322694,0.0469878381911272,29.6103801917337,1.09853410657471e-192,1.80086357871147e-190,"INHBA","3624","inhibin beta A subunit"
"ENSG00000133818",917.65645300902,-2.58022994826005,0.0872303207682866,-29.5795077392185,2.74199555737731e-192,4.44564862126866e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95677043086955,0.0663760819690764,29.4800532484154,5.18790737028226e-191,8.31982449360266e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.6427318332808,0.0557716992358291,-29.4545774252735,1.10000199991006e-190,1.74509994695408e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776102744,0.0460501468152449,-29.4445914899571,1.47658494473223e-190,2.31761002921057e-188,"NOTCH2","4853","notch 2"
"ENSG00000066279",593.333577786577,-3.10048884488446,0.105364404410731,-29.4263405390508,2.52837247823732e-190,3.92669553093825e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.4201486538295,0.0824494805564816,29.3531097769815,2.18083681188104e-189,3.35167357525967e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412407266,0.059337002914596,29.344153539045,2.83733846536377e-189,4.31567955855433e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040797911,0.0659490998396918,29.1497596275318,8.41282870433935e-187,1.26655994595737e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194735643,0.0635784346619816,29.0450992883704,1.77450740695683e-185,2.64455376588294e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330926993,0.0520551642929746,-28.9624157323696,1.95798451277005e-184,2.88881035014093e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993588,0.0673374984062561,-28.9326533662093,4.63895194261664e-184,6.77654425360058e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136364506,0.0486375337483022,-28.8487358529778,5.25529615347445e-183,7.60163131846687e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787422407,0.0409964053494516,-28.8071079441572,1.74741565849804e-182,2.50304569179418e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.8563393653252,0.0644924721231982,28.7838146718749,3.42015349905432e-182,4.85201391586995e-180,"MCC","4163","mutated in colorectal cancers"
"ENSG00000145147",601.510428483162,-2.68630819024381,0.0934361685436545,-28.750196333112,9.00653300953383e-182,1.26554655259678e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816423373,0.0561603408172015,-28.7348356643065,1.40130299862581e-181,1.95045513601182e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609587968,0.0513457668294939,-28.7302378943597,1.59946267621255e-181,2.20546470325607e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272033195,0.0824391287019118,28.7214670704913,2.05838507476209e-181,2.81198272157777e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422852201,0.135042981007958,28.6078861684365,5.36045727335899e-180,7.2557969368017e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578049857,0.0428453778828782,-28.5957515381882,7.58782515648011e-180,1.01773429417007e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280647594987,0.0890287130500729,-28.4493214512191,4.96818026061966e-178,6.60365149235878e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347825318,0.0451331155786802,28.4446013042275,5.68307800298339e-178,7.48644043357294e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086818918,0.0530931797384466,28.366559991482,5.23024083205063e-177,6.8289356846084e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158349611,0.0724505364488636,28.307472712002,2.79633446148756e-176,3.6190454951568e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792715062,0.0556189563178791,28.2741358568985,7.18942588379357e-176,9.22372082517307e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530641319,0.0365228239838217,-28.204974151766,5.08128919140552e-175,6.46287420086182e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.2334037348639,0.114651722468641,-28.2019638714829,5.53212396139107e-175,6.97615016464649e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990575811,0.0659124222529805,-28.1195841755656,5.64505948348528e-174,7.05823793384253e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031439572,0.0552347208780706,28.0352700218047,6.04067339683633e-173,7.48941977285068e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804945939,0.0590533753316907,-27.9348646913686,1.00679695711912e-171,1.23785685877795e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.6553484145697,0.0952230074223357,27.8855760435356,3.99160118974873e-171,4.86711437632667e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530128369,0.0844340388118365,27.8775637693849,4.99218588242843e-171,6.03727135322533e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159440176,0.0461355808408911,-27.8678965554979,6.53826250054112e-171,7.84272560430762e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145493165,0.101922369499557,27.8074525626484,3.52497132368242e-170,4.1941473314202e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110241747455,0.0682347241787507,-27.7146634684201,4.64849931818384e-169,5.48671671523875e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737933857,0.0770835751560627,27.6591657174957,2.16521598305082e-168,2.53536481062951e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331495716,0.0824087403195912,27.6420111037132,3.48153774585578e-168,4.04461479546111e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461016627,0.10292788520973,27.5035730540655,1.5911152079503e-166,1.83400888891397e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242123092,0.0575011792269243,-27.4669570687933,4.35865672917964e-166,4.98508692886173e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970816183,0.0634971554135391,-27.4390198555309,9.39463582303562e-166,1.06621889948514e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170319738,0.124605048875117,27.3907175833462,3.53782266098203e-165,3.98450652978083e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082376613,0.102045844417352,-27.3631997433042,7.5222757712074e-165,8.40785278245409e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868086518,0.0744625133716036,-27.362878159874,7.58884907240368e-165,8.4184871589657e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.683929770066,-3.32923741736555,0.121688980243531,-27.3585776682728,8.53778224274318e-165,9.40048053801738e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742287602,0.0550770518419979,-27.3447356477349,1.24735226389561e-164,1.36321742974191e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.0326324918979,0.0744909395918162,27.2869761481866,6.0549865604628e-164,6.56876997890207e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117036,27.2855920323935,6.2883588625435e-164,6.77214939109247e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943575562,0.078832731456492,27.036605181338,5.48953567619346e-161,5.86902966424336e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.09766103186867,0.114589407826338,-27.032699536795,6.10174925723791e-161,6.47663370800634e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.0231400958151,0.111928826133108,-27.0094862981938,1.1435005540283e-160,1.20508622672382e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146020609,0.0649482710252631,-26.8589360835725,6.63285058667545e-159,6.94050195431273e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751194662,0.0535105866683627,-26.8460430241547,9.38135519025252e-159,9.74736017443561e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343908697,0.0754066746184645,-26.8434253244649,1.00652905426085e-158,1.03848459206746e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.7203486120185,0.0641522056027236,26.8166713187093,2.06537852344863e-158,2.11615241215007e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141666891,0.0510598851200461,-26.8038483332112,2.91414962023106e-158,2.96519748254407e-156,"TMSB4X","7114","thymosin beta 4, X-linked"
"ENSG00000147883",1092.60954361111,2.17982979414398,0.0813913277505008,26.7820891290297,5.22461758509662e-158,5.2797265651038e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763029443,0.0775868069507066,-26.6672609894741,1.12889683462506e-156,1.13304380258899e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.5457970254674,0.058050486199839,-26.6284940344167,3.17640066854649e-156,3.16652807187398e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049306990579,0.102236933791018,-26.6096895615703,5.24361490306048e-156,5.19223451541975e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150543,26.5933696049238,8.099146713847e-156,7.96632070773991e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209041362,0.0383140645978392,-26.5299988681166,4.37010134779067e-155,4.26996525068236e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936183523,0.0415181814604856,26.4886207234755,1.31083408799617e-154,1.27237145620365e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984526546,0.113333403662864,-26.4103057750681,1.04333198601416e-153,1.0060993543564e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157106226,0.0509516590479701,-26.3952459290104,1.55365454741846e-153,1.48848176575402e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461978078,0.106412974127353,26.3897766490386,1.79528646435798e-153,1.70888106420243e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.3244636548552,0.0502228279351667,26.3717458635536,2.89073842164063e-153,2.73397145339012e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059231508,0.0652353713413459,26.3653069945044,3.42649871722582e-153,3.22003580088852e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.6788432616484,0.0638947462236915,26.2751377988242,3.69006171947221e-152,3.44577029171474e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193005948,0.0382024988828256,-26.2627304338599,5.11430951744674e-152,4.74569324656661e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136342768,0.134086230011799,26.1601162410115,7.56116221670186e-151,6.9723367090762e-149,"RIPOR3","140876","RIPOR family member 3"
